,index,from_node,to_node,source_edge_id,edge_tt,edge_var,distance
4277,21639,24460,24461,18813598#6,4.0,0.0,45.62
4278,21643,24462,24463,18813598#7,10.333333333333334,0.3333333333333335,120.47
4279,21647,24464,24465,18813598#8,13.0,1.0,162.94
4280,21651,24466,24467,18813598#9,11.666666666666666,0.3333333333333335,126.4
4281,21663,24494,24495,188740075#5,7.0,0.0,34.05
4282,21691,24524,24525,189226235#2,5.0,0.0,14.37
4283,21696,24530,24531,190281933,2.75,0.24999999999999997,17.11
4284,21700,24532,24533,190281935#1,11.75,1.0714285714285714,43.51
4285,21704,24534,24535,190281937#1,2.888888888888889,0.1111111111111111,0.7
4286,21708,24536,24537,190641749,4.0,0.0,16.77
4287,21712,24540,24541,192768905,6.0,0.0,28.25
4288,21715,24542,24543,192768907#0,4.75,0.24999999999999992,32.65
4289,21719,24544,24545,192768907#1,1.5,0.3333333333333333,8.59
4290,21723,24546,24547,192768909#1,4.625,0.2678571428571429,16.06
4291,21727,24548,24549,192768914,12.333333333333334,1.5151515151515154,181.0
4292,21731,24550,24551,192768918#1,12.0,0.0,27.2
4293,21734,24552,24553,192768918#2,14.5,0.5,46.31
4294,21738,24554,24555,192768918#3,4.5,0.5,7.19
4295,21742,24556,24557,192768918#4,9.5,0.5,34.05
4296,21746,24558,24559,192768918#5,2.3333333333333335,0.33333333333333337,0.34
4297,21750,24560,24561,192768919#1,3.5,0.5,1.76
4298,21754,24562,24563,192768919#2,3.5,0.5,1.65
4299,21758,24564,24565,192768919#3,5.5,12.5,0.2
4300,21762,24566,24567,192768919#4,1.0,0.0,0.2
4301,21766,24568,24569,192768919#5,3.0,1.0,1.5
4302,21770,24570,24571,192768919#6,3.0,0.0,1.49
4303,21774,24572,24573,192768919#7,5.0,12.0,1.73
4304,21778,24574,24575,192768919#8,3.3333333333333335,0.33333333333333326,1.59
4305,21782,24584,24585,192768926,7.0,0.0,33.2
4306,21786,24598,24599,192768978,30.5,24.5,124.49
4307,21790,24600,24601,192768995#1,6.5,0.5,6.93
4308,21793,24602,24603,192769003#0,1.4615384615384615,0.26923076923076916,0.2
4309,21797,24604,24605,192769003#1,9.076923076923077,0.41025641025641035,34.38
4310,21801,24606,24607,192769003#2,5.666666666666667,0.23809523809523808,18.09
4311,21805,24608,24609,192769008,3.5,0.5,7.53
4312,21809,24612,24613,192769015,1.0,0.0,6.66
4313,21813,24614,24615,192769021,0.3333333333333333,0.33333333333333337,0.27
4314,21817,24616,24617,192771013,68.0,0.0,322.13
4315,21825,24638,24639,192994895,9.0,0.0,55.18
4316,21830,24646,24647,192994902#0,2.090909090909091,0.0909090909090909,1.73
4317,21834,24648,24649,192994902#1,4.8,0.17777777777777776,19.18
4318,21838,24650,24651,192994902#2,6.5,0.4999999999999999,33.55
4319,21843,24660,24661,192994907#0,0.36363636363636365,0.2545454545454545,1.39
