simulation_time,travel_time_factor,speed,speed_nw
169200,2.0814752453088863,21.284822885366665,44.303831936674776
172800,1.9843474350841726,22.350929462237662,44.352009550138575
176400,1.862695727643588,23.83614406039833,44.39948370480105
180000,1.8207925611891753,24.319437972575617,44.28065175276725
183600,1.77443753864842,24.850178476134847,44.09508953016666
187200,1.8027970133287816,24.751391270766614,44.62173425867012
190800,1.8981498881514254,23.611402521385813,44.81798105506677
194400,2.3016344247172142,19.572976223901442,45.049835871103106
198000,3.0344168484847227,14.879348658760325,45.150146264620886
201600,3.7001793079574608,12.197736564745437,45.13381244078719
205200,3.8046096278428934,11.809219318893144,44.92946951796915
208800,3.884998291783234,11.503217767126774,44.68998137529806
212400,3.9502920274892044,11.351294229411193,44.840927096127245
216000,3.952616042205342,11.320621080480691,44.74606849043595
219600,3.760205940379281,11.884237598281967,44.68718081393865
223200,3.7667622525668567,11.890428037497378,44.78841549850773
226800,3.9034901782445264,11.475489889572804,44.79446207449181
230400,3.7056471820129766,12.068712132615486,44.722389104752395
234000,3.6283070325553064,12.310155985723494,44.665025534853356
237600,3.49686920870386,12.729075759705502,44.51191307937287
241200,3.012708640414642,14.760711694511594,44.46972366072453
244800,2.6859625742475117,16.578765403802418,44.529943401842736
248400,2.5096193962369444,17.732106731428757,44.500838989337296
252000,2.3950596813423344,18.607754926507504,44.56668358477731
255600,2.223998476008197,19.894600463135895,44.2455611108062
259200,1.9947423899155772,22.12303753746782,44.12976076968059
262800,1.8752903696030447,23.457839368466143,43.990260259379724
266400,1.8177097860887603,24.22012668981036,44.02516130437787
270000,1.7888816302755153,24.770060230959025,44.31070572798068
273600,1.7858970420036369,25.016444439118544,44.67679412527014
277200,1.8178926065922514,24.686307441752696,44.8770557824255
280800,2.133881341514066,21.04482482277503,44.9071590247517
284400,2.823233252482025,16.010187048346683,45.2004924533494
288000,3.560881178941956,12.680701118694783,45.15446994934846
291600,3.786330228742846,11.840671136633636,44.83269105323885
295200,3.895577524500188,11.53211540574916,44.92424958457879
298800,4.0816507389978804,10.965275782892952,44.75642600256059
302400,4.149998337985406,10.789973447727698,44.77837187497661
306000,4.143356832224742,10.795306644463768,44.72880754130011
309600,4.066384301332947,11.00762807482923,44.76124599839739
313200,4.048874285468736,11.048680815249275,44.73471964121455
316800,3.958268193925093,11.292590860034087,44.69910322828214
320400,4.033223841656716,11.099635247286463,44.767313513049004
324000,3.757513412228022,11.842037164512261,44.49661347375751
327600,3.290440321119384,13.493288911683106,44.398861899515175
331200,2.9212906643119476,15.256082291882713,44.56745077325179
334800,2.738128107604775,16.274303548382534,44.56112797751834
338400,2.5612565386818207,17.43403252296952,44.6530297950472
342000,2.3378399386388744,18.945432417977674,44.29138856153187
345600,2.104717307100508,21.11728364276708,44.44591236188234
349200,1.931343028434347,22.894342481805854,44.21682874282404
352800,1.8315345284694164,24.087444936325902,44.11698710348669
356400,1.809228414803587,24.35642456004994,44.06633539706231
360000,1.748524922790494,25.433141604313395,44.47048196000178
363600,1.8312609391655548,24.395911840926722,44.67528042961555
367200,2.113593996843414,21.276528198877607,44.96994227481732
370800,2.784671187323274,16.232816540222732,45.20305650866292
374400,3.4746062046537336,12.974600934805634,45.081628910981784
378000,3.8075661486726227,11.79206488314162,44.899067072001216
381600,3.9636877912441344,11.295120983034082,44.770333141077636
385200,4.030173756294539,11.089903943106625,44.69423983133564
388800,4.0318239556516335,11.082006850489575,44.680700696499386
392400,4.109850636617135,10.875878549106384,44.698236378815515
396000,4.7883579723919,9.32664222031004,44.65930163126847
399600,5.578649134037168,8.011911825914751,44.69564496962147
403200,6.561383322497097,6.759534106962166,44.35189435727186
406800,6.83284314358334,6.445357856631149,44.040119238623156
410400,6.065188145534126,7.242632656971224,43.927929733520195
414000,5.173650702329441,8.51554832893249,44.056472592701866
