simulation_time,time_interval,travel_time_factor,travel requests,average travel duration,standard error,25%,50%,75%
71100,79,2.5860067412582217,2332.0,657.0042881646656,5.917845206560105,-167.4164431676824,-5.714486447437906,162.19225118191446
72000,80,2.5038759970796414,2117.0,652.8611242324042,6.880157327702474,-155.67442349185762,-3.224815077166681,155.93022480601894
72900,81,2.4196568133662164,2032.0,617.0625,5.7725145498373465,-148.10257824168954,-0.2527354197783893,157.31239796450032
73800,82,2.3650162117962816,2033.0,614.6005902606985,5.6901119680976215,-137.4289718900891,10.60212106700692,148.76510403752286
74700,83,2.2789758127880058,2148.0,599.5488826815642,5.335751605118852,-137.5832417553248,6.387454609160982,145.26549128283537
75600,84,2.272789747510056,1946.0,589.7235354573484,5.428837220316546,-133.76683695396014,-1.2351133125120413,141.01127876878226
76500,85,2.214289383527813,1857.0,603.5196553581045,5.827510339812977,-142.42945204667498,5.2140325365809295,147.57111301660808
77400,86,2.2183784687085124,2002.0,596.7737262737263,5.603564191697648,-138.57785689749608,6.394567043903719,140.18917168772572
78300,87,2.152796603217881,1864.0,591.3422746781116,5.7505686851278295,-134.80999835941992,0.2613170733612833,135.42737405617814
79200,88,2.1185488577835576,1824.0,567.1589912280701,5.433591575710686,-127.54280265407893,5.327267793694432,132.42896447916772
80100,89,2.0782333159319646,1476.0,579.8848238482385,6.286964907166178,-132.97078694654542,8.365319476987723,145.27495477667577
81000,90,2.0538559576169533,1442.0,569.9521497919557,6.303195138696747,-117.88471923730509,14.332855607756898,138.42710353358655
81900,91,2.0780026519130432,1485.0,568.8255892255892,6.384891698405336,-126.86718540513016,2.4415730420001296,137.13576663165225
82800,92,2.015855994280745,1339.0,564.3704256908139,7.510535419145362,-128.29065499341112,-1.2620453805811849,126.4815778101442
83700,93,1.9618195892042585,1220.0,562.9795081967212,6.920982558431466,-123.20408039394351,-1.7197094552714702,131.55972133755688
84600,94,1.9261546779083372,1039.0,541.781520692974,7.0347391494049205,-118.78477549735494,9.778193713515408,132.51047063090692
85500,95,1.8068796794263418,814.0,526.2481572481572,7.2843537321707155,-112.18700411262265,2.6250279447431812,131.4879531793736
